id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1461249549003939841,1461184354823016452,2021-11-18 00:26:55 PST,2021-11-18,00:26:55,-0700,996711806386110464,defundament,Jay K-Holing,,"@maximum_sincere @ellybaxterpr i appreciated it as a wildlife feeder more than a food source for us. made some nice jam, and i enjoyed being able to eat fruit straight from it - but it fed possums and bats all night, and all manner of birdlife through the day. was the final straw for me and that house/landlord",en,[],[],[],0,0,0,[],[],https://twitter.com/defundament/status/1461249549003939841,False,,0,,,,,,,,"[{'screen_name': 'ellybaxterpr', 'name': 'Elly Baxter', 'id': '20221582'}]",,,,
1461173498575945732,1461173498575945732,2021-11-17 19:24:44 PST,2021-11-17,19:24:44,-0700,1404941088499015681,msc_wildlife,MSc Wildlife,,"Our alumnus, Rohit Chakravarty @paintedbat was awarded an  Honorary Mention Oral Presentation at   #ECBC2021 for his talk titled “Functional diversity of Himalayan bat communities declines without the loss of phylogenetic diversity at high elevation”. Congratulation Rohit! 👇🏽",en,"[{'screen_name': 'paintedbat', 'name': 'rohit chakravarty', 'id': '4731968773'}]",[],[],1,0,13,['ecbc2021'],[],https://twitter.com/MSc_Wildlife/status/1461173498575945732,False,https://twitter.com/Biogeography/status/1460721828045885443,0,,,,,,,,[],,,,
1461131447675146241,1461129644942368768,2021-11-17 16:37:38 PST,2021-11-17,16:37:38,-0700,1340796333255401475,angwingsandhalo,Lisa Cole,,@AG_Exposed There’s tons of wildlife around here too which I just think is amazing a lot of protected areas so they can’t build on it everything from mountain lions to wolves bats birds of prey you name it,en,[],[],[],1,0,1,[],[],https://twitter.com/angwingsandhalo/status/1461131447675146241,False,,0,,,,,,,,"[{'screen_name': 'AG_Exposed', 'name': '⏮️🅰️G⏭️', 'id': '711266319233118208'}]",,,,
1461091931459575814,1461091931459575814,2021-11-17 14:00:36 PST,2021-11-17,14:00:36,-0700,486099614,bklconsultants,BKL,,"Moth wingtips an 'acoustic decoy' to thwart bat attack, scientists find  https://t.co/TmJZR9ouvl #noise #sound #acoustics #wildlife #acousticalengineering",en,[],['https://phys.org/news/2021-09-moth-wingtips-acoustic-decoy-thwart.html'],[],0,1,1,"['noise', 'sound', 'acoustics', 'wildlife', 'acousticalengineering']",[],https://twitter.com/BKLConsultants/status/1461091931459575814,False,,0,,,,,,,,[],,,,
1461069008296464391,1345058482635083776,2021-11-17 12:29:31 PST,2021-11-17,12:29:31,-0700,570277677,daisyshylass,Daisy Shylass,,"I attempted a #BatWatch (saw 1) at a pretty dusk, &amp; Tiny Robin came to see me, until Speckled Jim (who's a bigger knobhead than Knobhead) chased him into Next Door's garden. 🤬  An early #PondWatch showed up lots of Transmogrifying Toadpoles.  #Bats #Birds #Cats #Toads #Wildlife  https://t.co/R3XchfqLvn",en,[],[],"['https://pbs.twimg.com/media/FEbCeDtWQAI_-hv.jpg', 'https://pbs.twimg.com/media/FEbCeDtWUAoHpjd.jpg', 'https://pbs.twimg.com/media/FEbCeDxXMAA2x9Y.jpg', 'https://pbs.twimg.com/media/FEbCeDtX0AU8Tra.jpg']",1,0,3,"['batwatch', 'pondwatch', 'bats', 'birds', 'cats', 'toads', 'wildlife']",[],https://twitter.com/DaisyShylass/status/1461069008296464391,False,,1,https://pbs.twimg.com/media/FEbCeDtWQAI_-hv.jpg,,,,,,,[],,,,
1461041044724731904,1461041044724731904,2021-11-17 10:38:24 PST,2021-11-17,10:38:24,-0700,17410863,natobserver,Canada's National Observer,,Canada goes to bat for the #endangered Atlantic shortfin mako shark. #shark #wildlife   https://t.co/QWBF3dsF6z,en,[],['https://www.nationalobserver.com/2021/11/17/news/canada-joins-talks-save-endangered-atlantic-shark'],[],0,2,5,"['endangered', 'shark', 'wildlife']",[],https://twitter.com/NatObserver/status/1461041044724731904,False,,0,,,,,,,,[],,,,
1460989923251695616,1460989923251695616,2021-11-17 07:15:16 PST,2021-11-17,07:15:16,-0700,4849821129,daera_ni,DAERA,,"Did you know that the #carrierbaglevy money stays within Northern Ireland?  It is used for environmental projects, from bats to butterflies, from wildlife to woodlands, from bugs to birds, our environment is cleaner and greener thanks to the levy.  #Dontpaytothrowitaway  https://t.co/39SdMa2fxm",en,[],[],['https://pbs.twimg.com/media/FEZ5W98XoAERBqP.jpg'],0,2,3,"['carrierbaglevy', 'dontpaytothrowitaway']",[],https://twitter.com/daera_ni/status/1460989923251695616,False,,1,https://pbs.twimg.com/media/FEZ5W98XoAERBqP.jpg,,,,,,,[],,,,
1460947829317378049,1460947829317378049,2021-11-17 04:28:00 PST,2021-11-17,04:28:00,-0700,94581683,vincentwildlife,Vincent Wildlife,,"This autumn, volunteers have been busy helping us to maintain our bat reserves. Find out what they’ve been up to at one of our greater horseshoe roosts in Devon, to improve the roost for bats and other wildlife. Thanks @WestonFdn @DefraGovUK @HeritageFundUK for funding this work.  https://t.co/OkLXYfv6W3",en,"[{'screen_name': 'westonfdn', 'name': 'garfield weston foundation', 'id': '2994353111'}, {'screen_name': 'defragovuk', 'name': 'defra uk', 'id': '50069007'}, {'screen_name': 'heritagefunduk', 'name': 'national lottery heritage fund', 'id': '155576163'}]",[],[],0,3,5,[],[],https://twitter.com/vincentwildlife/status/1460947829317378049,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1460931618495995905/pu/img/Oj85TRNafi65APob.jpg,,,,,,,[],,,,
1460920249520463878,1460719993440686084,2021-11-17 02:38:24 PST,2021-11-17,02:38:24,-0700,1308667414721241088,philip69070958,Philip,,"@Rainmaker1973 Nature is Fantastic when it manages to colour the Wildlife, Especially the Go Faster Stripes on a Zebra ! I wonder if this Bat Likes Oranges or Carrots as there good for your vision ;)",en,[],[],[],0,0,0,[],[],https://twitter.com/Philip69070958/status/1460920249520463878,False,,0,,,,,,,,"[{'screen_name': 'Rainmaker1973', 'name': 'Massimo', 'id': '177101260'}]",,,,
1460903034473443328,1460903034473443328,2021-11-17 01:30:00 PST,2021-11-17,01:30:00,-0700,619067844,cyc_youngcarers,CheshireYoungCarers,,#WildlifeWednesday   Have you spotted any bats flying around at dusk where you live?   #wildlife #youngcarers #fun  https://t.co/WqN9owqbyd,en,[],[],['https://pbs.twimg.com/media/FDqywJkXMAUvlMv.jpg'],0,0,2,"['wildlifewednesday', 'wildlife', 'youngcarers', 'fun']",[],https://twitter.com/CYC_youngcarers/status/1460903034473443328,False,,1,https://pbs.twimg.com/media/FDqywJkXMAUvlMv.jpg,,,,,,,[],,,,
